time,score
710,-504
711,-500
711,-496
714,-495
726,-494
792,-493
1084,-492
2639,-491
3817,-489
3818,-481
3818,-477
3821,-476
3831,-475
3887,-474
4137,-473
5637,-472
28536,-471
29807,-465
29808,-453
29808,-449
29810,-448
29822,-447
29884,-446
30146,-445
31669,-444
