time,score
3702,-589
3702,-588
3703,-587
3705,-576
3706,-575
3706,-574
3714,-556
3714,-555
3714,-554
3723,-553
3753,-528
3753,-527
3754,-526
3756,-525
3953,-517
3954,-516
3983,-515
3984,-514
4270,-513
30147,-512
