time,score
654,-575
655,-571
656,-543
657,-535
660,-522
664,-510
667,-506
690,-502
691,-494
869,-486
870,-474
1044,-471
1305,-463
1306,-447
2441,-436
2446,-435
3326,-419
17483,-412
18522,-404
32425,-403
95263,-388
124541,-387
