time,score
663,-515
663,-514
664,-513
664,-512
664,-511
668,-503
668,-502
669,-501
670,-500
670,-499
678,-491
679,-490
679,-489
680,-488
680,-487
716,-483
717,-482
717,-481
717,-480
717,-479
737,-467
737,-466
738,-465
739,-464
739,-463
1456,-462
1498,-461
5078,-460
181377,-459
244992,-453
244993,-452
244993,-451
244994,-450
244995,-449
245001,-448
245002,-447
245003,-446
245003,-445
245009,-434
245010,-433
245010,-432
245011,-431
245012,-430
245013,-429
249485,-428
